CodDependente;;Nome;;Sexo;DataNascimento;;ID
1;;Ana Clara;;F;21/09/2015;;9
2;;Maria Antonieta;;F;14/10/2000;;5
3;;João Pereira;;M;12/05/2004;;2
4;;Pedro Silva;;M;12/12/1998;;1
5;;Ana Cristina;;F;16/06/2000;;3
6;;Lucas Santos;;M;26/04/1999;;10
7;;Érika Santos;;F;27/09/2001;;10
8;;Marcelo Santos;;M;11/11/2003;;10
9;;Jorge Lucas;;M;04/02/2007;;7
10;;José Lima;;M;30/09/2001;;8
11;;Maria Lima;;F;01/10/2013;;8
12;;Pedro Lima;;M;01/10/2003;;8
13;;Carlos Antônio;;M;03/08/2015;;4
14;;Sheila Mariana;;F;04/03/1997;;3
15;;Lilian Maria;;F;12/08/2003;;3
16;;Melissa Pereira;;F;06/10/2003;;2
17;;Larissa Souza;;F;07/05/1998;;6
18;;Edson Souza;;M;14/01/2000;;6
19;;Miriam Muniz;;F;09/11/2003;;5
20;;Antônio Romão;;M;10/10/1998;;1
